Media ID,Media created,Day of week,Media type,Media caption,Comments count,Like count,Media impressions,Media reach,Unique saves
1.79187E+16,20/06/2020 12:01,6 Saturday,IMAGE,"""A certain blue enters your soul"" 💙 -Henri Matisse| #XHINDÓ #UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Colores #Colors #Saucillo #Hidalgo #Cielo #Sky #Tradiciones #Traditions #Mexico",0,204,3842,2831,12
1.78746E+16,20/06/2020 15:00,6 Saturday,IMAGE,"""Blue has no dimensions, it is beyond dimensions"" -Yves Klein | #XHINDÓ #UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Colores #Colors #Saucillo #Hidalgo #Cielo #Sky #Tradiciones #Traditions #Mexico",0,47,946,811,2
1.79181E+16,20/06/2020 21:00,6 Saturday,IMAGE,"Pinceladas en el cielo y una iglesia que llena de colores el corazón de Saucillo. 🎨 | #XHINDÓ #UnaPlayeraALaVez
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Colores #Colors #Saucillo #Hidalgo #Cielo #Sky #Tradiciones #Traditions #Mexico",0,73,1683,1485,4
1.79118E+16,21/06/2020 12:10,7 Sunday,IMAGE,"Saucillo, Hidalgo; el lugar donde todo comenzó, la raíz de lo que el día de hoy es XHINDÓ. | #XHINDÓ⠀⠀⠀⠀⠀⠀⠀⠀⠀
#UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Landscape #Nature #Paisaje #Mexico #Sky",1,106,1823,1666,6
1.78729E+16,21/06/2020 15:00,7 Sunday,IMAGE,"Queremos lograr un desarrollo integral en comunidades rurales a través del diseño, la producción y la comercialización de productos de alta calidad. | #XHINDÓ #UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀ .⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Landscape #Nature #Paisaje #Mexico #Sky",0,68,1313,1171,3
1.79175E+16,21/06/2020 21:00,7 Sunday,IMAGE,"Saucillo, un paisaje de colores| #XHINDÓ #UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀ .⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Landscape #Nature #Paisaje #Mexico #Sky",0,227,3405,2884,28
1.78432E+16,22/06/2020 12:01,1 Monday,IMAGE,"NUEVA COLAB @enlacerural con el proyecto ""Sembrando agua"". El diseño está inspirado en el movimiento de las ondas del agua. Conoce más de esta colaboración en nuestra página www.xhindo.com 💧 | #XHINDÓ #UnaPlayeraALaVez
.
.
.
.
.
.
.
.
#Mexico #HechoEnMexico #HandMade #HechoConAmor #HechoAMano #Fashion",2,114,2023,1707,10
1.8106E+16,24/06/2020 12:01,3 Wednesday,IMAGE,"DISPONIBLES YA LA VENTA. Se donarán $100 por cada playera vendida para la instalación de SISTEMAS SEMILLA. Visita nuestra página web www.xhindo.com para conocer más del proyecto ""Sembrando agua"" de @enlacerural💧| #XHINDÓ #UnaPlayeraALaVez
.
.
.
.
.
.
.
.
#Embroidery #Mexico #HechoEnMexico #HandMade #HechoConAmor #hechoamano",7,42,1168,1053,1
1.79184E+16,25/06/2020 15:01,4 Thursday,IMAGE,"¡YA A LA VENTA! Adelantamos la fecha para que seas parte de esta causa. Realiza tu pedido en nuestra página web antes de las 12 del día de mañana para mandarlo a producir este fin de semana. Apoyemos el proyecto ""Sembrando agua"" de @enlacerural 💧| #XHINDÓ #UnaPlayeraALaVez .
.
.
.
.
.
.
.
#Embroidery #HandEmbroidery #BordadoAMano #HandMade #MadeInMexico #HechoEnMexico #mexico",0,79,1903,1615,6
1.78542E+16,30/06/2020 12:00,2 Tuesday,IMAGE,"Cada bordado lleva consigo una historia 🧵| #XHINDÓ #UnaPlayeraALaVez
.
.
.
.
.
.
.
.
#Embroidey #HechoAMano #Mexico #HechoConAmor #HandMade",1,30,1569,1386,0
